Year_Exposure,Variable,Category,N
2001,Role_Group,Associate,1
2001,Role_Group,Follower,25
2001,Role_Group,Leader,11
2001,Role_Group,NoGroup,2
2002,Actively_Recruited,NotRecruited,14
2002,Actively_Recruited,Recruited,13
2002,Actively_Recruited,Unknown,27
2002,Role_Group,Associate,3
2002,Role_Group,Follower,32
2002,Role_Group,Leader,12
2002,Role_Group,NoGroup,3
2003,Actively_Recruited,NotRecruited,14
2003,Actively_Recruited,Recruited,12
2003,Actively_Recruited,Unknown,27
2003,Role_Group,Associate,6
2003,Role_Group,Follower,27
2003,Role_Group,Leader,12
2003,Role_Group,NoGroup,3
2004,Actively_Recruited,NotRecruited,13
2004,Actively_Recruited,Recruited,6
2004,Actively_Recruited,Unknown,24
2004,Role_Group,Associate,5
2004,Role_Group,Follower,18
2004,Role_Group,Leader,10
2004,Role_Group,NoGroup,5
2005,Actively_Recruited,NotRecruited,13
2005,Actively_Recruited,Recruited,8
2005,Actively_Recruited,Unknown,13
2005,Role_Group,Associate,1
2005,Role_Group,Follower,18
2005,Role_Group,Leader,8
2005,Role_Group,NoGroup,6
2006,Actively_Recruited,NotRecruited,17
2006,Actively_Recruited,Recruited,11
2006,Actively_Recruited,Unknown,35
2006,Role_Group,Associate,1
2006,Role_Group,Follower,38
2006,Role_Group,Leader,13
2006,Role_Group,NoGroup,8
2007,Actively_Recruited,NotRecruited,12
2007,Actively_Recruited,Recruited,7
2007,Actively_Recruited,Unknown,23
2007,Role_Group,Associate,4
2007,Role_Group,Follower,23
2007,Role_Group,Leader,10
2007,Role_Group,NoGroup,4
2008,Actively_Recruited,NotRecruited,14
2008,Actively_Recruited,Recruited,5
2008,Actively_Recruited,Unknown,31
2008,Role_Group,Associate,6
2008,Role_Group,Follower,27
2008,Role_Group,Leader,9
2008,Role_Group,NoGroup,4
2009,Actively_Recruited,NotRecruited,26
2009,Actively_Recruited,Recruited,18
2009,Actively_Recruited,Unknown,35
2009,Role_Group,Associate,8
2009,Role_Group,Follower,40
2009,Role_Group,Leader,13
2009,Role_Group,NoGroup,11
2010,Actively_Recruited,NotRecruited,39
2010,Actively_Recruited,Recruited,11
2010,Actively_Recruited,Unknown,20
2010,Role_Group,Associate,5
2010,Role_Group,Follower,25
2010,Role_Group,Leader,10
2010,Role_Group,NoGroup,22
2011,Actively_Recruited,NotRecruited,40
2011,Actively_Recruited,Recruited,9
2011,Actively_Recruited,Unknown,44
2011,Role_Group,Associate,9
2011,Role_Group,Follower,34
2011,Role_Group,Leader,12
2011,Role_Group,NoGroup,26
2012,Actively_Recruited,NotRecruited,26
2012,Actively_Recruited,Recruited,8
2012,Actively_Recruited,Unknown,21
2012,Role_Group,Associate,2
2012,Role_Group,Follower,28
2012,Role_Group,Leader,9
2012,Role_Group,NoGroup,11
2013,Actively_Recruited,NotRecruited,21
2013,Actively_Recruited,Recruited,2
2013,Actively_Recruited,Unknown,15
2013,Role_Group,Associate,1
2013,Role_Group,Follower,17
2013,Role_Group,Leader,6
2013,Role_Group,NoGroup,8
2014,Actively_Recruited,NotRecruited,33
2014,Actively_Recruited,Recruited,4
2014,Actively_Recruited,Unknown,28
2014,Role_Group,Associate,1
2014,Role_Group,Follower,23
2014,Role_Group,Leader,9
2014,Role_Group,NoGroup,13
2015,Actively_Recruited,NotRecruited,59
2015,Actively_Recruited,Recruited,24
2015,Actively_Recruited,Unknown,65
2015,Role_Group,Associate,11
2015,Role_Group,Follower,66
2015,Role_Group,Leader,12
2015,Role_Group,NoGroup,26
2016,Actively_Recruited,NotRecruited,90
2016,Actively_Recruited,Recruited,8
2016,Actively_Recruited,Unknown,54
2016,Role_Group,Associate,3
2016,Role_Group,Follower,52
2016,Role_Group,Leader,19
2016,Role_Group,NoGroup,33
2017,Actively_Recruited,NotRecruited,107
2017,Actively_Recruited,Recruited,7
2017,Actively_Recruited,Unknown,53
2017,Role_Group,Associate,7
2017,Role_Group,Follower,36
2017,Role_Group,Leader,20
2017,Role_Group,NoGroup,59
2018,Actively_Recruited,NotRecruited,58
2018,Actively_Recruited,Recruited,6
2018,Actively_Recruited,Unknown,28
2018,Role_Group,Associate,3
2018,Role_Group,Follower,22
2018,Role_Group,Leader,7
2018,Role_Group,NoGroup,33
2019,Actively_Recruited,NotRecruited,151
2019,Actively_Recruited,Recruited,4
2019,Actively_Recruited,Unknown,59
2019,Role_Group,Associate,16
2019,Role_Group,Follower,81
2019,Role_Group,Leader,13
2019,Role_Group,NoGroup,81
2020,Actively_Recruited,NotRecruited,155
2020,Actively_Recruited,Recruited,7
2020,Actively_Recruited,Unknown,150
2020,Actively_Recruited,NA,48
2020,Role_Group,Associate,37
2020,Role_Group,Follower,150
2020,Role_Group,Leader,46
2020,Role_Group,NoGroup,116
2021,Actively_Recruited,NotRecruited,162
2021,Actively_Recruited,Recruited,10
2021,Actively_Recruited,Unknown,250
2021,Actively_Recruited,NA,3
2021,Role_Group,Associate,58
2021,Role_Group,Follower,274
2021,Role_Group,Leader,40
2021,Role_Group,NoGroup,45
2022,Actively_Recruited,NotRecruited,149
2022,Actively_Recruited,Recruited,12
2022,Actively_Recruited,Unknown,120
2022,Actively_Recruited,NA,4
2022,Role_Group,Associate,39
2022,Role_Group,Follower,119
2022,Role_Group,Leader,35
2022,Role_Group,NoGroup,92
