Subject_ID,Year_Exposure,Role_Group,Actively_Recruited,Recruiter1,Loc_Habitation_State1,Loc_Habitation_City1,Country,lat,long
3160,1985,Unknown,Unknown,Unknown,Maryland,Laurel,United States,39.0984317,-76.8485094
3161,1995,NoGroup,NotRecruited,Not recruited,New Mexico,Albuquerque,United States,35.0841034,-106.650985
3163,2010,Leader,Recruited,Other,Georgia,Carrollton,United States,33.5801103,-85.0766113
3165,1995,NoGroup,NotRecruited,Not recruited,Wisconsin,Caledonia,United States,42.7870581,-87.8043925
3167,1988,Unknown,Unknown,Unknown,Missouri,Kansas City,United States,39.100105,-94.5781416
3168,1991,Leader,Unknown,Unknown,South Carolina,Summerville,United States,33.0186699,-80.1762704
3169,1998,Unknown,Unknown,Unknown,Florida,Bradenton,United States,27.4989278,-82.5748194
3171,2004,Associate,Recruited,Other,Kansas,Wichita,United States,37.6922361,-97.3375448
3173,1992,Leader,Unknown,Unknown,Texas,Houston,United States,29.7589382,-95.3676974
3174,1975,Leader,NotRecruited,Not recruited,Louisiana,Gentilly Woods,United States,30.0104799,-90.0367375
3175,1998,Follower,NotRecruited,Not recruited,Florida,Bradenton,United States,27.4989278,-82.5748194
3176,2011,Leader,NotRecruited,Not recruited,North Carolina,Concord,United States,35.4094178,-80.5800049
3178,2003,Follower,Unknown,Unknown,North Carolina,Asheville,United States,35.595363,-82.5508407
3180,1986,Leader,NotRecruited,Not recruited,Delaware,Newark,United States,39.6828358,-75.7515682
